danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id
0.7839,0.55,6.4,-8.822899999999999,0.7,0.22125,0.15855999999999998,0.004301609,0.11574999999999999,0.47844999999999993,122.32839999999999,,,,,,194317.1,4.0,4snOTeLIxOa9anlWC3k5cC
0.6259999999999999,0.41290000000000004,5.1,-9.282700000000002,0.6,0.16653,0.65,0.051366617999999996,0.12688,0.39580000000000004,150.18419999999998,,,,,,160010.5,4.0,3XROpF1yIcXOcMjDkswghI
0.3919,0.10776000000000001,4.1,-19.2662,1.0,0.04196,0.9639,0.62604,0.10554999999999999,0.24505999999999997,102.41749999999999,,,,,,125154.8,3.9,1Iy8JKDTXo8e9HmyTCaTOZ
0.36479999999999996,0.16739800000000002,5.1,-23.5166,0.4,0.04667,0.9869,0.8027999999999998,0.10647,0.30122,99.3529,,,,,,239302.5,4.1,5gHoKuc3ZL5JlXOXJnyP9E
0.4734999999999999,0.7192999999999999,6.1,-5.357,0.8,0.05383,0.056304999999999994,0.012451806,0.11241000000000001,0.457,115.79400000000001,,,,,,213673.2,4.0,4ddt8PPvmWrI9mJQy1VrIG
0.2149,0.10078000000000001,2.8,-41.38289999999999,0.8,0.07218,0.9124999999999999,0.7379,0.10754000000000001,0.1762,116.1748,,,,,,155821.3,3.1,73NuuIXGeBU7AyknDXY5A2
0.7395999999999999,0.5866,5.5,-7.195100000000001,0.4,0.11224,0.20613,0.001277129,0.233,0.4225,115.25970000000002,,,,,,159768.5,4.0,3EXdLajEO02ziZ90P90bSW
0.6656000000000001,0.6720999999999999,2.8,-7.3646,0.3,0.06007,0.261872,4.2099999999999995e-06,0.22163000000000005,0.6807000000000001,122.56739999999999,,,,,,164633.6,4.0,0mNU2jWtQEYmhBjWtWTBBS
0.17957142857142855,0.023967142857142854,5.142857142857143,-33.89785714285715,0.8571428571428571,0.04241428571428572,0.942,0.8977142857142857,0.10529999999999999,0.06844285714285714,96.70114285714286,,,,,,172579.2857142857,3.7142857142857144,1hdDs4wK0nVxEMPc1IXXRb
0.1318857142857143,0.03941742857142857,4.0,-38.47542857142857,0.7142857142857143,0.040357142857142855,0.9634285714285715,0.8385714285714284,0.10907142857142857,0.07808571428571429,90.04942857142858,,,,,,178698.0,4.0,61dB4bXX3NDinvPlTy0v2P
0.7102,0.643,6.8,-8.017,0.7,0.15298,0.3075219,0.27598807000000003,0.21708999999999995,0.4227,115.33040000000001,,,,,,182138.5,4.1,4PStVha6j7ZX2DNtWwIR24
0.7597,0.6956,6.1,-5.950000000000001,0.5,0.11033,0.299,0.000118041,0.20176,0.5650999999999999,119.28509999999999,,,,,,193324.6,4.0,3gLEl6eWiDqXmTSwwJnpkF
